League,PlayerName,Stat,PropLine,Type
NBA,Deandre Ayton,Rebs+Asts,12.5,standard
NBA,Deandre Ayton,FG Made,7.0,standard
NBA,Deandre Ayton,Pts+Rebs,27.5,standard
NBA,Deandre Ayton,Turnovers,1.5,standard
NBA,Deandre Ayton,FG Attempted,12.5,standard
NBA,Deandre Ayton,Points,16.5,standard
NBA,Deandre Ayton,Defensive Rebounds,7.5,standard
NBA,Nick Richards,Pts+Rebs+Asts,20.5,standard
NBA,Nick Richards,Fantasy Score,25.0,standard
NBA,Nick Richards,Rebounds,9.5,standard
NBA,Nick Richards,Rebs+Asts,11.0,standard
NBA,Nick Richards,Defensive Rebounds,6.5,standard
NBA,Nick Richards,Pts+Asts,10.5,standard
NBA,Nick Richards,FG Made,4.0,standard
NBA,Nick Richards,Pts+Rebs,19.0,standard
NBA,Nick Richards,Offensive Rebounds,3.0,standard
NBA,Nick Richards,Points,9.5,standard
NBA,Nick Richards,Turnovers,1.5,standard
NBA,Jerami Grant,Free Throws Made,2.5,standard
NBA,Jerami Grant,Fantasy Score,23.5,standard
NBA,Jerami Grant,Points,13.5,standard
NBA,Jerami Grant,3-PT Attempted,4.5,standard
NBA,Jerami Grant,FG Attempted,11.0,standard
NBA,Jerami Grant,Blks+Stls,1.5,standard
NBA,Jerami Grant,Rebs+Asts,5.5,standard
NBA,Jerami Grant,Pts+Asts,15.5,standard
NBA,Jerami Grant,Pts+Rebs,17.5,standard
NBA,Jerami Grant,Offensive Rebounds,0.5,standard
NBA,Jerami Grant,Pts+Rebs+Asts,19.0,standard
NBA,Jerami Grant,FG Made,4.5,standard
NBA,Tyus Jones,FG Attempted,8.0,standard
NBA,Tyus Jones,Fantasy Score,21.0,standard
NBA,Tyus Jones,Pts+Asts,14.5,standard
NBA,Tyus Jones,FG Made,3.5,standard
NBA,Tyus Jones,Assists,5.0,standard
NBA,Tyus Jones,3-PT Made,1.5,standard
NBA,Tyus Jones,Points,8.5,standard
NBA,Tyus Jones,Pts+Rebs+Asts,16.5,standard
NBA,Toumani Camara,Pts+Rebs,16.5,standard
NBA,Toumani Camara,Fantasy Score,25.5,standard
NBA,Toumani Camara,FG Made,4.0,standard
NBA,Toumani Camara,FG Attempted,8.5,standard
NBA,Toumani Camara,Offensive Rebounds,2.5,standard
NBA,Toumani Camara,Points,10.5,standard
NBA,Toumani Camara,Defensive Rebounds,4.0,standard
NBA,Toumani Camara,Rebounds,6.0,standard
NBA,Toumani Camara,Pts+Rebs+Asts,19.5,standard
NBA,Toumani Camara,Pts+Asts,12.0,standard
NBA,Toumani Camara,Rebs+Asts,8.5,standard
NBA,Grayson Allen,Pts+Rebs,12.5,standard
NBA,Grayson Allen,Points,9.5,standard
NBA,Scoot Henderson,Pts+Rebs,14.5,standard
NBA,Scoot Henderson,Points,11.5,standard
NBA,Scoot Henderson,Pts+Rebs+Asts,20.5,standard
NBA,Scoot Henderson,Rebounds,2.5,standard
NBA,Shaedon Sharpe,Points,14.5,standard
NBA,Shaedon Sharpe,Pts+Rebs,17.5,standard
NBA,Shaedon Sharpe,Rebounds,3.5,standard
NBA,Deandre Ayton,Rebounds,8.5,goblin
NBA,Anfernee Simons,Assists,5.5,demon
NBA,Deandre Ayton,Assists,2.5,demon
NBA,Toumani Camara,Points,7.5,goblin
NBA,Anfernee Simons,Blocked Shots,0.5,demon
NBA,Deandre Ayton,Pts+Rebs+Asts,24.5,goblin
NBA,Jerami Grant,Pts+Rebs+Asts,14.5,goblin
NBA,Anfernee Simons,3-PT Made,2.5,goblin
NBA,Anfernee Simons,Assists,3.5,goblin
NBA,Jerami Grant,Pts+Rebs+Asts,24.5,demon
NBA,Deni Avdija,Pts+Rebs+Asts,24.5,goblin
NBA,Jerami Grant,Rebs+Asts,7.5,demon
NBA,Toumani Camara,Pts+Asts,9.5,goblin
NBA,Toumani Camara,Assists,1.5,goblin
NBA,Toumani Camara,Steals,2.5,demon
NBA,Anfernee Simons,Steals,1.5,demon
NBA,Jerami Grant,Blocked Shots,1.5,demon
NBA,Jerami Grant,Assists,1.5,goblin
NBA,Jerami Grant,Points,19.5,demon
NBA,Deni Avdija,Pts+Rebs,19.5,goblin
NBA,Jerami Grant,Pts+Rebs,19.5,demon
NBA,Toumani Camara,3-PT Made,0.5,goblin
NBA,Anfernee Simons,Assists,6.5,demon
NBA,Deni Avdija,Rebounds,5.5,goblin
NBA,Deni Avdija,Assists,4.5,demon
NBA,Anfernee Simons,Pts+Rebs,29.5,demon
NBA,Anfernee Simons,3-PT Made,4.5,demon
NBA,Anfernee Simons,Pts+Asts,19.5,goblin
NBA,Anfernee Simons,Pts+Asts,29.5,demon
NBA,Anfernee Simons,Steals,0.5,goblin
NBA,Anfernee Simons,Pts+Rebs+Asts,34.5,demon
NBA,Anfernee Simons,Pts+Rebs+Asts,24.5,goblin
NBA,Deandre Ayton,Rebounds,14.5,demon
NBA,Deandre Ayton,Rebounds,9.5,goblin
NBA,Deandre Ayton,Pts+Rebs,34.5,demon
NBA,Deandre Ayton,Steals,0.5,goblin
NBA,Anfernee Simons,Rebounds,4.5,demon
NBA,Deni Avdija,Blocked Shots,1.5,demon
NBA,Deni Avdija,Rebs+Asts,9.5,goblin
NBA,Deni Avdija,Steals,0.5,goblin
NBA,Deandre Ayton,Steals,1.5,demon
NBA,Deni Avdija,Steals,1.5,demon
NBA,Deni Avdija,Assists,5.5,demon
NBA,Deni Avdija,Rebounds,9.5,demon
NBA,Deni Avdija,Rebs+Asts,14.5,demon
NBA,Deni Avdija,Pts+Rebs,29.5,demon
NBA,Deni Avdija,Rebounds,8.5,demon
NBA,Jerami Grant,Turnovers,1.5,demon
NBA,Toumani Camara,Rebounds,4.5,goblin
NBA,Toumani Camara,Steals,0.5,goblin
NBA,Deandre Ayton,Pts+Rebs,24.5,goblin
NBA,Jerami Grant,Points,17.5,demon
NBA,Anfernee Simons,Points,14.5,goblin
NBA,Jerami Grant,3-PT Made,2.5,demon
NBA,Toumani Camara,Assists,3.5,demon
NBA,Toumani Camara,3-PT Made,2.5,demon
NBA,Toumani Camara,Rebs+Asts,11.5,demon
NBA,Jerami Grant,Pts+Rebs,14.5,goblin
NBA,Jerami Grant,Points,18.5,demon
NBA,Jerami Grant,Rebs+Asts,4.5,goblin
NBA,Deandre Ayton,Points,11.5,goblin
NBA,Deandre Ayton,Points,19.5,demon
NBA,Anfernee Simons,Rebounds,3.5,demon
NBA,Jerami Grant,Rebounds,4.5,demon
NBA,Toumani Camara,Rebounds,7.5,demon
NBA,Deandre Ayton,Rebounds,12.5,demon
NBA,Deni Avdija,Pts+Rebs+Asts,34.5,demon
NBA,Deni Avdija,Assists,2.5,goblin
NBA,Toumani Camara,3-PT Made,1.5,demon
NBA,Deni Avdija,Pts+Rebs+Asts,29.5,demon
NBA,Deandre Ayton,Pts+Rebs+Asts,34.5,demon
NBA,Deandre Ayton,Points,14.5,goblin
NBA,Deni Avdija,3-PT Made,2.5,demon
NBA,Deni Avdija,Rebounds,4.5,goblin
NBA,Deni Avdija,3-PT Made,0.5,goblin
NBA,Deni Avdija,Rebounds,7.5,demon
NBA,Deni Avdija,Points,11.5,goblin
NBA,Toumani Camara,Points,6.5,goblin
NBA,Anfernee Simons,Points,24.5,demon
NBA,Deandre Ayton,Pts+Rebs,29.5,demon
NBA,Jerami Grant,Points,11.5,goblin
NBA,Deandre Ayton,Points,21.5,demon
NBA,Deni Avdija,Blocked Shots,0.5,demon
NBA,Toumani Camara,Pts+Rebs+Asts,24.5,demon
NBA,Anfernee Simons,Pts+Rebs+Asts,29.5,demon
NBA,Toumani Camara,Pts+Rebs,14.5,goblin
NBA,Jerami Grant,Rebounds,2.5,goblin
NBA,Toumani Camara,Points,14.5,demon
NBA,Deandre Ayton,Pts+Asts,14.5,goblin
NBA,Nick Richards,Rebounds,11.5,demon
NBA,Toumani Camara,Rebs+Asts,7.5,goblin
NBA,Anfernee Simons,Pts+Rebs,19.5,goblin
NBA,Devin Booker,Pts+Asts,29.5,goblin
NBA,Kevin Durant,Blocked Shots,0.5,goblin
NBA,Deandre Ayton,Blocked Shots,0.5,goblin
NBA,Bradley Beal,Rebs+Asts,7.5,demon
NBA,Kevin Durant,Pts+Rebs+Asts,39.5,demon
NBA,Nick Richards,Assists,1.5,demon
NBA,Nick Richards,Blocked Shots,0.5,goblin
NBA,Devin Booker,3-PT Made,1.5,goblin
NBA,Kevin Durant,Rebounds,6.5,demon
NBA,Devin Booker,Pts+Rebs+Asts,44.5,demon
NBA,Bradley Beal,Points,17.5,demon
NBA,Devin Booker,Pts+Rebs,29.5,goblin
NBA,Tyus Jones,Pts+Rebs+Asts,24.5,demon
NBA,Tyus Jones,Rebounds,3.5,demon
NBA,Tyus Jones,Pts+Rebs,14.5,demon
NBA,Tyus Jones,Pts+Rebs+Asts,14.5,goblin
NBA,Tyus Jones,Pts+Rebs,9.5,goblin
NBA,Kevin Durant,3-PT Made,3.5,demon
NBA,Devin Booker,Assists,4.5,goblin
NBA,Devin Booker,Assists,7.5,demon
NBA,Devin Booker,Pts+Rebs+Asts,34.5,goblin
NBA,Devin Booker,Points,24.5,goblin
NBA,Nick Richards,Rebounds,7.5,goblin
NBA,Bradley Beal,Points,9.5,goblin
NBA,Bradley Beal,Pts+Rebs+Asts,24.5,demon
NBA,Bradley Beal,3-PT Made,0.5,goblin
NBA,Nick Richards,Rebounds,12.5,demon
NBA,Tyus Jones,Free Throws Made,0.5,demon
NBA,Tyus Jones,Points,13.5,demon
NBA,Tyus Jones,Assists,4.5,goblin
NBA,Tyus Jones,Points,7.5,goblin
NBA,Nick Richards,Steals,1.5,demon
NBA,Nick Richards,Points,14.5,demon
NBA,Jerami Grant,Assists,3.5,demon
NBA,Nick Richards,Pts+Rebs,14.5,goblin
NBA,Tyus Jones,Points,14.5,demon
NBA,Devin Booker,Turnovers,2.5,goblin
NBA,Tyus Jones,Assists,6.5,demon
NBA,Nick Richards,Pts+Rebs+Asts,24.5,demon
NBA,Kevin Durant,Rebounds,8.5,demon
NBA,Kevin Durant,Points,33.5,demon
NBA,Kevin Durant,Pts+Rebs,29.5,goblin
NBA,Kevin Durant,Steals,2.5,demon
NBA,Kevin Durant,Rebounds,7.5,demon
NBA,Kevin Durant,Points,34.5,demon
NBA,Kevin Durant,Pts+Asts,39.5,demon
NBA,Kevin Durant,Blocked Shots,2.5,demon
NBA,Kevin Durant,Blocked Shots,1.5,demon
NBA,Bradley Beal,Pts+Asts,24.5,demon
NBA,Bradley Beal,Rebounds,4.5,demon
NBA,Kevin Durant,Assists,6.5,demon
NBA,Devin Booker,Rebounds,6.5,demon
NBA,Devin Booker,Steals,0.5,goblin
NBA,Bradley Beal,Rebs+Asts,9.5,demon
NBA,Devin Booker,Pts+Rebs,39.5,demon
NBA,Bradley Beal,Points,18.5,demon
NBA,Devin Booker,Blocked Shots,0.5,demon
NBA,Bradley Beal,Pts+Asts,14.5,goblin
NBA,Kevin Durant,Assists,3.5,goblin
NBA,Devin Booker,Pts+Asts,39.5,demon
NBA,Tyus Jones,Points,11.5,demon
NBA,Kevin Durant,Steals,1.5,demon
NBA,Nick Richards,Points,7.5,goblin
NBA,Bradley Beal,Steals,1.5,demon
NBA,Kevin Durant,Rebounds,4.5,goblin
NBA,Nick Richards,Rebounds,13.5,demon
NBA,Bradley Beal,Steals,0.5,goblin
NBA,Tyus Jones,Pts+Asts,19.5,demon
NBA,Devin Booker,Steals,1.5,demon
NBA,Tyus Jones,Steals,1.5,demon
NBA,Tyus Jones,Pts+Rebs+Asts,19.5,demon
NBA,Kevin Durant,Pts+Asts,24.5,goblin
NBA,Bradley Beal,Pts+Rebs,19.5,demon
NBA,Tyus Jones,Assists,3.5,goblin
NBA,Devin Booker,3-PT Made,4.5,demon
NBA,Kevin Durant,Rebs+Asts,11.5,demon
NBA,Devin Booker,Assists,5.5,goblin
NBA,Kevin Durant,Pts+Asts,34.5,demon
NBA,Devin Booker,Assists,8.5,demon
NBA,Nick Richards,Blocked Shots,1.5,demon
NBA,Tyus Jones,3-PT Made,2.5,demon
NBA,Nick Richards,Rebounds,8.5,goblin
NBA,Devin Booker,Points,34.5,demon
NBA,Tyus Jones,Points,5.5,goblin
NBA,Bradley Beal,Points,19.5,demon
NBA,Bradley Beal,3-PT Made,2.5,demon
NBA,Devin Booker,Pts+Rebs,34.5,demon
NBA,Tyus Jones,Turnovers,1.5,demon
NBA,Kevin Durant,Pts+Rebs+Asts,44.5,demon
NBA,Tyus Jones,Rebs+Asts,9.5,demon
NBA,Devin Booker,3-PT Made,3.5,demon
NBA,Kevin Durant,Pts+Rebs,39.5,demon
NBA,Bradley Beal,Rebounds,3.5,demon
NBA,Bradley Beal,Assists,4.5,demon
NBA,Kevin Durant,3-PT Made,1.5,goblin
NBA,Bradley Beal,Pts+Asts,19.5,demon
NBA,Nick Richards,Points,11.5,demon
NBA,Devin Booker,Rebs+Asts,14.5,demon
NBA,Kevin Durant,Assists,5.5,demon
NBA,Kevin Durant,Points,29.5,demon
NBA,Tyus Jones,Rebounds,2.5,demon
NBA,Toumani Camara,Turnovers,1.5,demon
NBA,Bradley Beal,Pts+Rebs,14.5,goblin
NBA,Nick Richards,Pts+Rebs,24.5,demon
NBA,Jerami Grant,Steals,1.5,demon
NBA,Kevin Durant,Steals,0.5,goblin
NBA,Toumani Camara,Points,15.5,demon
NBA,Deni Avdija,Points,22.5,demon
NBA,Anfernee Simons,Pts+Rebs,24.5,demon
NBA,Jerami Grant,Pts+Asts,19.5,demon
NBA,Deandre Ayton,Blocked Shots,1.5,demon
NBA,Deandre Ayton,Pts+Asts,24.5,demon
NBA,Kevin Durant,Points,20.5,goblin
NBA,Devin Booker,Rebounds,5.5,demon
NBA,Devin Booker,Points,21.5,goblin
NBA,Deandre Ayton,Rebounds,13.5,demon
NBA,Bradley Beal,Assists,2.5,goblin
NBA,Toumani Camara,Rebounds,8.5,demon
NBA,Devin Booker,Points,29.5,demon
NBA,Tyus Jones,Assists,7.5,demon
NBA,Deni Avdija,Pts+Asts,14.5,goblin
NBA,Jerami Grant,Points,8.5,goblin
NBA,Anfernee Simons,Points,26.5,demon
NBA,Toumani Camara,Pts+Rebs+Asts,14.5,goblin
NBA,Toumani Camara,Pts+Asts,14.5,demon
NBA,Deni Avdija,Pts+Asts,24.5,demon
NBA,Toumani Camara,Pts+Rebs,19.5,demon
NBA,Deni Avdija,Points,19.5,demon
NBA,Toumani Camara,Rebs+Asts,9.5,demon
NBA,Anfernee Simons,Rebs+Asts,9.5,demon
NBA,Jerami Grant,Points,9.5,goblin
