,GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,PLAYER_ID,FIRST_NAME,LAST_NAME,MINUTES,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TREB,AST,STL,BLK,TO,PTS,+/-,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0,0022200001,1610612755,Philadelphia,76ers,202699,Tobias,Harris,34:14,7,14,0.5,3,6,0.5,1,2,0.5,1,1,2,0,3,0,0,18,-1.0,115.0,121.4,123.8,126.5,-8.8,-5.0,0.0,0.0,0.0,0.033,0.034,0.034,0.0,0.607,0.605,0.195,0.193,100.53,96.75,80.62,70.0,0.078
1,0022200001,1610612755,Philadelphia,76ers,200782,P.J.,Tucker,33:01,3,5,0.6,0,2,0.0,0,0,0.0,2,2,4,0,0,1,2,6,-6.0,112.1,116.2,129.8,130.8,-17.7,-14.6,0.0,0.0,0.0,0.069,0.077,0.073,28.6,0.6,0.6,0.095,0.094,98.83,96.68,80.57,68.0,0.024
2,0022200001,1610612755,Philadelphia,76ers,203954,Joel,Embiid,37:16,9,18,0.5,1,6,0.167,7,9,0.778,1,14,15,5,0,1,6,26,-13.0,114.9,118.4,135.7,139.2,-20.8,-20.8,0.217,0.83,15.6,0.032,0.5,0.254,18.8,0.528,0.592,0.329,0.328,99.36,96.6,80.5,76.0,0.146
3,0022200001,1610612755,Philadelphia,76ers,1630178,Tyrese,Maxey,38:12,8,16,0.5,2,5,0.4,3,3,1.0,0,1,1,2,2,0,1,21,-6.0,114.7,117.5,126.9,128.2,-12.2,-10.7,0.077,2.0,10.0,0.0,0.032,0.015,5.0,0.563,0.606,0.207,0.209,100.98,99.27,82.73,80.0,0.071
4,0022200001,1610612755,Philadelphia,76ers,201935,James,Harden,37:16,9,14,0.643,5,9,0.556,12,12,1.0,0,8,8,7,0,0,3,35,1.0,112.3,116.9,117.4,118.7,-5.1,-1.8,0.333,2.33,26.9,0.0,0.242,0.118,11.5,0.821,0.908,0.226,0.226,100.4,97.88,81.56,77.0,0.257
5,0022200001,1610612755,Philadelphia,76ers,1626149,Montrezl,Harrell,10:44,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,2,4.0,112.7,117.4,98.3,100.0,14.4,17.4,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.333,0.333,0.16,0.167,105.9,102.86,85.71,23.0,-0.106
6,0022200001,1610612755,Philadelphia,76ers,1629001,De'Anthony,Melton,20:33,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,5,-13.0,117.4,122.0,143.1,150.0,-25.7,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.093,0.094,101.19,96.93,80.78,41.0,0.022
7,0022200001,1610612755,Philadelphia,76ers,1627863,Danuel,House Jr.,16:12,0,2,0.0,0,1,0.0,1,2,0.5,0,1,1,1,2,0,1,1,-5.0,112.3,118.8,123.4,126.5,-11.1,-7.7,0.083,1.0,20.0,0.0,0.077,0.037,20.0,0.0,0.174,0.118,0.118,101.75,97.78,81.48,32.0,-0.017
8,0022200001,1610612755,Philadelphia,76ers,1627777,Georges,Niang,12:08,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,3,-5.0,121.2,128.0,137.2,142.3,-16.0,-14.3,0.111,0.0,20.0,0.0,0.0,0.0,0.0,0.375,0.375,0.154,0.152,105.61,100.93,84.11,25.0,0.0
9,0022200001,1610612755,Philadelphia,76ers,1629680,Matisse,Thybulle,0:24,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,53.2,50.0,-53.2,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.87,178.51,148.76,1.0,0.0
10,0022200001,1610612755,Philadelphia,76ers,1627788,Furkan,Korkmaz,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0022200001,1610612755,Philadelphia,76ers,1629003,Shake,Milton,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0022200001,1610612755,Philadelphia,76ers,1630194,Paul,Reed,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0022200001,1610612755,Philadelphia,76ers,1630531,Jaden,Springer,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0022200001,1610612738,Boston,Celtics,1627759,Jaylen,Brown,38:34,14,24,0.583,4,12,0.333,3,3,1.0,0,3,3,2,2,1,4,35,7.0,128.3,131.6,114.9,119.2,13.4,12.3,0.087,0.5,6.5,0.0,0.091,0.047,12.9,0.667,0.691,0.354,0.354,98.85,95.83,79.86,76.0,0.157
15,0022200001,1610612738,Boston,Celtics,1628369,Jayson,Tatum,38:37,13,20,0.65,2,7,0.286,7,9,0.778,0,12,12,4,1,1,3,35,10.0,126.2,125.6,109.1,111.4,17.1,14.2,0.174,1.33,12.9,0.0,0.333,0.182,9.7,0.7,0.73,0.321,0.331,98.41,97.56,81.3,78.0,0.25
16,0022200001,1610612738,Boston,Celtics,201143,Al,Horford,23:06,2,7,0.286,2,5,0.4,0,0,0.0,1,4,5,1,0,0,0,6,8.0,135.8,143.5,123.8,126.1,12.0,17.4,0.045,0.0,12.5,0.053,0.222,0.135,0.0,0.429,0.429,0.14,0.138,99.16,95.58,79.65,46.0,0.023
17,0022200001,1610612738,Boston,Celtics,1628401,Derrick,White,24:02,1,3,0.333,0,1,0.0,0,1,0.0,1,2,3,4,1,0,1,2,9.0,123.0,124.5,104.6,107.5,18.3,17.0,0.182,4.0,50.0,0.043,0.08,0.063,12.5,0.333,0.291,0.069,0.071,107.98,105.82,88.19,53.0,0.038
18,0022200001,1610612738,Boston,Celtics,203935,Marcus,Smart,36:05,3,8,0.375,1,4,0.25,7,8,0.875,1,2,3,7,1,0,1,14,0.0,122.6,123.0,116.1,121.3,6.4,1.6,0.241,7.0,35.0,0.03,0.063,0.046,5.0,0.438,0.608,0.16,0.164,101.49,99.09,82.58,74.0,0.094
19,0022200001,1610612738,Boston,Celtics,203943,Noah,Vonleh,20:10,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,1,1,0,2,7.0,142.6,139.0,120.4,122.0,22.2,17.1,0.0,0.0,0.0,0.0,0.133,0.071,0.0,0.5,0.5,0.048,0.049,96.97,97.59,81.32,41.0,0.005
20,0022200001,1610612738,Boston,Celtics,1629684,Grant,Williams,23:57,5,5,1.0,3,3,1.0,2,3,0.667,0,1,1,1,0,0,0,15,-3.0,110.1,114.6,113.6,118.4,-3.5,-3.8,0.063,0.0,14.3,0.0,0.048,0.024,0.0,1.3,1.187,0.111,0.111,101.21,97.2,81.0,48.0,0.144
21,0022200001,1610612738,Boston,Celtics,1627763,Malcolm,Brogdon,23:52,7,11,0.636,0,2,0.0,2,2,1.0,1,1,2,4,2,0,1,16,9.0,133.4,135.4,110.0,114.3,23.4,21.1,0.222,4.0,23.5,0.056,0.05,0.053,5.9,0.636,0.673,0.236,0.242,100.2,97.54,81.28,48.0,0.176
22,0022200001,1610612738,Boston,Celtics,201933,Blake,Griffin,8:17,0,2,0.0,0,1,0.0,1,2,0.5,2,3,5,1,0,0,0,1,-5.0,102.6,105.6,126.6,141.2,-24.0,-35.6,0.167,0.0,25.0,0.286,0.375,0.333,0.0,0.0,0.174,0.143,0.146,108.57,101.39,84.49,18.0,0.0
23,0022200001,1610612738,Boston,Celtics,1630573,Sam,Hauser,3:19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3.0,177.6,185.7,126.9,142.9,50.7,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.99,101.31,84.42,7.0,-0.056
24,0022200001,1610612738,Boston,Celtics,1631120,JD,Davison,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0022200001,1610612738,Boston,Celtics,1628382,Justin,Jackson,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0022200001,1610612738,Boston,Celtics,1629662,Mfiondu,Kabengele,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0022200001,1610612738,Boston,Celtics,1628436,Luke,Kornet,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0022200001,1610612738,Boston,Celtics,1630202,Payton,Pritchard,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0022200002,1610612747,Los Angeles,Lakers,1629022,Lonnie,Walker IV,29:17,2,7,0.286,0,3,0.0,1,2,0.5,1,2,3,5,1,1,2,5,-13.0,91.6,95.7,117.4,115.9,-25.8,-20.2,0.217,2.5,33.3,0.027,0.065,0.044,13.3,0.286,0.317,0.125,0.125,115.82,113.92,94.93,70.0,0.044
30,0022200002,1610612747,Los Angeles,Lakers,2544,LeBron,James,35:12,12,26,0.462,3,10,0.3,4,4,1.0,5,10,15,8,0,0,5,31,-10.0,93.3,97.6,110.4,109.4,-17.1,-11.8,0.421,1.6,20.0,0.111,0.294,0.19,12.5,0.519,0.558,0.327,0.327,118.06,115.91,96.59,85.0,0.195
31,0022200002,1610612747,Los Angeles,Lakers,203076,Anthony,Davis,35:36,10,22,0.455,0,3,0.0,7,9,0.778,0,6,6,0,4,1,3,27,-21.0,95.2,98.9,121.1,121.6,-25.9,-22.7,0.0,0.0,0.0,0.0,0.136,0.072,10.3,0.455,0.52,0.296,0.298,120.49,117.98,98.31,87.0,0.104
32,0022200002,1610612747,Los Angeles,Lakers,201566,Russell,Westbrook,30:41,7,12,0.583,1,3,0.333,4,5,0.8,1,10,11,3,1,0,4,19,-6.0,99.9,102.7,106.1,107.8,-6.1,-5.1,0.143,0.75,14.3,0.028,0.263,0.149,19.0,0.625,0.669,0.214,0.217,121.46,118.89,99.08,75.0,0.161
33,0022200002,1610612747,Los Angeles,Lakers,201976,Patrick,Beverley,24:40,1,5,0.2,1,5,0.2,0,0,0.0,1,1,2,2,4,2,1,3,-5.0,97.0,96.4,103.4,103.6,-6.4,-7.2,0.1,2.0,25.0,0.042,0.032,0.036,12.5,0.3,0.3,0.102,0.104,107.73,108.0,90.0,55.0,0.015
34,0022200002,1610612747,Los Angeles,Lakers,1630559,Austin,Reaves,16:00,1,3,0.333,0,2,0.0,1,1,1.0,0,0,0,1,0,0,0,3,-6.0,76.0,80.0,91.0,95.0,-15.0,-15.0,0.083,0.0,25.0,0.0,0.0,0.0,0.0,0.333,0.436,0.068,0.068,125.76,120.0,100.0,40.0,0.019
35,0022200002,1610612747,Los Angeles,Lakers,1629134,Kendrick,Nunn,23:03,5,9,0.556,3,6,0.5,0,0,0.0,0,3,3,2,1,0,3,13,-19.0,97.8,100.0,123.5,127.1,-25.8,-27.1,0.133,0.67,14.3,0.0,0.111,0.058,21.4,0.722,0.722,0.188,0.193,122.86,119.74,99.78,56.0,0.085
36,0022200002,1610612747,Los Angeles,Lakers,1629308,Juan,Toscano-Anderson,14:18,0,3,0.0,0,3,0.0,0,0,0.0,0,4,4,0,0,0,2,0,0.0,76.0,76.5,71.2,74.3,4.8,2.2,0.0,0.0,0.0,0.0,0.182,0.103,40.0,0.0,0.0,0.132,0.138,118.69,115.8,96.5,34.0,-0.077
37,0022200002,1610612747,Los Angeles,Lakers,1629117,Wenyen,Gabriel,7:48,0,1,0.0,0,0,0.0,0,2,0.0,1,0,1,1,0,0,0,0,0.0,67.6,66.7,67.6,63.2,0.0,3.5,0.25,0.0,33.3,0.071,0.0,0.048,0.0,0.0,0.0,0.095,0.101,109.29,113.85,94.87,18.0,-0.438
38,0022200002,1610612747,Los Angeles,Lakers,1630346,Matt,Ryan,17:49,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,0,1,0,1,3,1.0,87.8,92.7,93.1,88.1,-5.3,4.6,0.0,0.0,0.0,0.0,0.045,0.023,20.0,0.375,0.375,0.111,0.11,111.86,111.81,93.17,41.0,-0.017
39,0022200002,1610612747,Los Angeles,Lakers,1631306,Cole,Swider,1:52,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3.0,133.0,125.0,66.7,50.0,66.3,75.0,1.0,0.0,50.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.266,86.91,102.86,85.71,4.0,0.2
40,0022200002,1610612747,Los Angeles,Lakers,1630590,Scotty,Pippen Jr.,1:52,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,2,3.0,133.0,125.0,66.7,50.0,66.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136,0.25,0.266,86.91,102.86,85.71,4.0,0.4
41,0022200002,1610612747,Los Angeles,Lakers,1631108,Max,Christie,1:52,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,3,3.0,133.0,125.0,66.7,50.0,66.3,75.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.5,1.5,0.25,0.266,86.91,102.86,85.71,4.0,0.8
42,0022200002,1610612747,Los Angeles,Lakers,1627745,Damian,Jones,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0022200002,1610612744,Golden State,Warriors,203952,Andrew,Wiggins,29:28,8,14,0.571,4,7,0.571,0,0,0.0,1,5,6,4,1,1,1,20,25.0,131.6,134.2,97.4,100.0,34.1,34.2,0.148,4.0,21.1,0.031,0.161,0.095,5.3,0.714,0.714,0.19,0.189,121.69,118.92,99.1,73.0,0.115
44,0022200002,1610612744,Golden State,Warriors,203110,Draymond,Green,24:41,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,5,0,0,1,4,12.0,113.3,111.7,87.7,91.7,25.6,20.0,0.217,5.0,45.5,0.0,0.152,0.081,9.1,0.4,0.4,0.09,0.092,118.51,116.68,97.23,60.0,0.082
45,0022200002,1610612744,Golden State,Warriors,1626172,Kevon,Looney,21:08,3,4,0.75,0,0,0.0,1,1,1.0,2,4,6,2,1,0,0,7,30.0,143.5,141.5,88.1,86.5,55.4,55.0,0.087,0.0,33.3,0.1,0.19,0.146,0.0,0.75,0.788,0.07,0.071,117.37,119.23,99.36,53.0,0.098
46,0022200002,1610612744,Golden State,Warriors,202691,Klay,Thompson,19:39,6,13,0.462,2,6,0.333,4,5,0.8,0,2,2,3,1,0,2,18,11.0,118.1,117.4,88.6,93.5,29.5,23.9,0.214,1.5,15.0,0.0,0.074,0.041,10.0,0.538,0.592,0.327,0.329,115.1,112.37,93.64,46.0,0.122
47,0022200002,1610612744,Golden State,Warriors,201939,Stephen,Curry,32:48,10,22,0.455,4,13,0.308,9,9,1.0,1,5,6,7,4,1,4,33,20.0,119.8,122.0,96.1,100.0,23.7,22.0,0.269,1.75,19.4,0.025,0.143,0.08,11.1,0.545,0.636,0.315,0.324,121.98,118.52,98.77,82.0,0.194
48,0022200002,1610612744,Golden State,Warriors,1629673,Jordan,Poole,28:11,4,15,0.267,2,9,0.222,2,2,1.0,0,2,2,7,2,0,4,12,1.0,87.0,88.2,82.4,89.4,4.6,-1.2,0.368,1.75,25.9,0.0,0.053,0.026,14.8,0.333,0.378,0.247,0.257,119.7,114.11,95.09,68.0,0.071
49,0022200002,1610612744,Golden State,Warriors,1630164,James,Wiseman,16:31,4,6,0.667,0,0,0.0,0,4,0.0,1,6,7,0,0,1,0,8,-11.0,60.7,61.5,86.6,92.1,-25.9,-30.6,0.0,0.0,0.0,0.043,0.273,0.156,0.0,0.667,0.515,0.17,0.188,116.13,111.89,93.24,39.0,0.215
50,0022200002,1610612744,Golden State,Warriors,203210,JaMychal,Green,23:26,3,6,0.5,2,3,0.667,0,0,0.0,5,2,7,0,1,0,0,8,-3.0,89.3,91.1,97.5,98.2,-8.1,-7.1,0.0,0.0,0.0,0.152,0.077,0.119,0.0,0.667,0.667,0.087,0.091,115.2,113.68,94.74,56.0,0.117
51,0022200002,1610612744,Golden State,Warriors,1630228,Jonathan,Kuminga,13:04,0,3,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,1,2,0,-8.0,54.0,55.2,77.2,80.0,-23.2,-24.8,0.0,0.0,0.0,0.063,0.105,0.086,40.0,0.0,0.0,0.147,0.158,111.55,108.4,90.33,29.0,-0.25
52,0022200002,1610612744,Golden State,Warriors,1628978,Donte,DiVincenzo,21:37,3,6,0.5,1,2,0.5,1,2,0.5,0,2,2,2,1,0,4,8,-5.0,98.1,96.1,109.0,112.5,-11.0,-16.4,0.133,0.5,15.4,0.0,0.087,0.044,30.8,0.583,0.581,0.19,0.2,110.45,109.92,91.6,51.0,0.037
53,0022200002,1610612744,Golden State,Warriors,1630541,Moses,Moody,7:35,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,5,1.0,109.7,105.6,101.4,105.9,8.3,-0.3,0.0,0.0,0.0,0.0,0.125,0.063,0.0,0.625,0.625,0.211,0.231,111.02,110.77,92.31,18.0,0.129
54,0022200002,1610612744,Golden State,Warriors,1631157,Ryan,Rollins,1:52,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-3.0,66.7,50.0,133.0,125.0,-66.3,-75.0,1.0,0.0,50.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.333,86.91,102.86,85.71,4.0,-0.2
55,0022200002,1610612744,Golden State,Warriors,1631116,Patrick,Baldwin,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
